"January";"Tháng 1"
"Yes, allow members to comment on all experiences, including private ones.";"Có, cho phép thành viên bình luận trên tất cả bài viết, bao gồm cả những bài cá nhân"
"Yes, allow members to comment on experiences.";"Có, cho phép thành viên bình luận bài viết."
"No, do not allow members to comment on experiences.";"Không, không cho phép thành viên bình luận bài viết."
"Experience Entry Privacy";"Bảo mật bài viết"
"Your members can choose from any of the options checked below when they decide who can see their experience entries. These options appear on your members' ""Add Entry"" and ""Edit Entry"" pages. If you do not check any options, everyone will be allowed to view experiences.";"Những thành viên của bạn có thể chọn từ bất cứ tùy chọn nào dưới đây khi họ quyết định ai có thể xem bài viết của họ. Những tùy chọn này xuất hiện trong trang "Thêm bài viết" và "Định dạng bài viết" của thành viên của bạn. Nếu bạn không muốn chọn bất cứ tùy chọn nào, tất cả mọi người sẽ được cho phép để xem bài viết."
"Experience Comment Options";"Experience Comment Options"
"Your members can choose from any of the options checked below when they decide who can post comments on their entries. If you do not check any options, everyone will be allowed to post comments on entries.";"Những thành viên của bạn có thể chọn từ bất cứ tùy chọn nào dưới đây khi họ quyết định ai có thể đăng bình luận trên bài viết của họ. Nếu bạn không muốn chọn bất cứ tùy chọn nào, tất cả mọi người sẽ được cho phép để đăng bình luận trên bài viết."
"Allow Custom CSS Styles?";"Cho phép tùy chỉnh kiểu CSS?"
"If you enable this feature, your members will be able to customize the colors and fonts of their experiences by altering their CSS styles.";"Nếu bạn kích hoạt đặc điểm này, thành viên của bạn sẽ có thể tùy chỉnh màu sắc và kiểu chữ trên bài viết của họ bằng cách chỉnh sửa kiểu CSS của họ."
"Yes, enable custom CSS styles.";"Có, kích hoạt tùy chỉnh kiểu CSS."
"No, disable custom CSS styles.";"Không, ẩn tùy chỉnh kiểu CSS."
"HTML in Experience Entries?";"HTML trong bài viết?"
"If you want to allow specific HTML tags, you can enter them below (separated by commas). Example: b, img, a, embed, font";"Nếu bạn muốn cho phép những tags HTML cụ thể, bạn có thể nhập chúng bên dưới (phân cách bởi dấu phẩy). Ví dụ: b, img, a, embed, font"
"strong, b, em, i, u, strike, sub, sup, p, div, pre, address, h1, h2, h3, h4, h5, h6, span, ol, li, ul, a, img, embed, br, hr";"strong, b, em, i, u, strike, sub, sup, p, div, pre, address, h1, h2, h3, h4, h5, h6, span, ol, li, ul, a, img, embed, br, hr"
"Maximum Allowed Experience Entries?";"Cho phép số lượng bài viết tối đa?"
"Enter the maximum number of allowed experience entries. The field must contain an integer between 1 and 999, or 0 for unlimited.";"Nhập vào số bài viết nhiều nhất được cho phép. Phần này phải chứa số nguyên từ 1 đến 999, hoặc để 0 cho việc không giới hạn."
"You are already subscribed to this member's experience.";"Bạn đã đăng ký trở thành thành viên behoi.com."
"Subscribe?";"Đăng ký?"
"Would you like to subscribe to this member's experience?";"Bạn có muốn đăng ký trở thành thành viên behoi.com?"
"Subscribe";"Đăng ký"
"You are now subscribed to this member's experience.";"Bạn đang đăng ký thành thành viên behoi.com"
"You are already not subscribed to this member's experience.";"Bạn đã không đăng ký thành thành viên của behoi.com."
"Unsubscribe?";"Hủy đăng ký?"
"Would you like to unsubscribe from this member's experience?";"Bạn  muốn hủy đăng ký thành viên của behoi.com?"
"Unsubscribe";"Hủy đăng ký"
"You are no longer subscribed to this member's experience.";"Bạn đã không còn là thành viên đăng ký của behoi.com"
"Share";"Chia sẻ"
"Edit This Entry";"Định dạng bài viết"
"View All Entries";"Xem tất cả bài viết"
"Report";"Báo cáo"
"Delete This Entry";"Xóa bài viết này"
"The category was deleted successfully.";"Danh mục đã được xóa thành công."
"The category was added successfully.";"Danh mục đã được thêm thành công."
"The category was modified successfully.";"Danh mục đã được tùy chỉnh thành công."
"No identifier specified";"Không có định danh xác định"
"Advanced Experiences Plugin";"Plugin nâng cao"
"Delete Experience?";"Xóa bài viết?"
"Are you sure that you want to delete this experience entry? It will not be recoverable after being deleted.";"Bạn có chắc muốn xóa bài viết này? Nó sẽ không được khôi phục sau khi bị xóa."
"Delete";"Xóa"
"Delete the selected experience(s)?";"Xóa bài viết đã chọn?"
"Are you sure that you want to delete the %d experience(s)? It will not be recoverable after being deleted.";"Bạn có chắc muốn xóa %d bài viết? Nó sẽ không được khôi phục sau khi bị xóa."
"Please select a experience to delete.";"Vui lòng chọn bài viết để xóa."
"Go Back";"Quay lại"
"Member Level";"Cấp độ thành viên"
"Experience Entry Categories";"Danh mục bài viết"
"EXPERIENCE_VIEW_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"Nếu bạn muốn cho phép tất cả người dùng phân loại bài viết của họ, tạo danh mục bên dưới. Tính năng này hữu ích nếu bạn muốn có danh sách tất cả bài viết của người dùng. Nếu bạn không có danh mục nào, người dùng của bạn sẽ không có tùy chọn nào trong danh mục bài viết."
"Category Name";"Tên danh mục"
"Owner";"Người sở hữu"
"Number of Times Used";"Thời gian đã sử dụng"
"Options";"Tùy chọn"
"edit";"sửa"
"delete";"xóa"
"There are currently no categories.";"Hiện tại không có danh mục nào."
"Add New Category";"Thêm danh mục mới"
"Add Category";"Thêm danh mục"
"Global Settings";"Cài đặt toàn cầu"
"Entries Per Page";"Số bài viết trên mỗi trang"
"How many experience entries will be shown per page? (Enter a number between 1 and 999)";"Có bao nhiều bài viết hiển thị trên một trang? (Nhập một số từ 1 đến 999)"
"Edit Category";"Sửa danh mục"
"Delete Experience Category?";"Xóa danh mục bài viết?"
"Are you sure that you want to delete this category? It will not be recoverable after being deleted.";"Bạn có chắc muốn xóa danh mục này? Nó sẽ không được khôi phục sau khi bị xóa."
"EXPERIENCE_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"Trang này bao gồm danh sách tất cả bài viết mà người dùng của bạn đã đăng. Bạn có thể sử dụng trang này để theo dõi nội dung web và xóa những nội dung không phù hợp nếu cần thiết. Nhập tiêu chuẩn trong phần lọc sẽ giúp bạn tìm kiếm những bài viết cụ thể. Để phần lọc trống sẽ hiển thị tất cả bài viết trên website của bạn!."
"Featured";"Đặc sắc"
"Views";"Xem"
"Date";"Ngày"
"Options";"Tùy chọn"
"Delete Selected";"Xóa những phần đã chọn"
"There are no experience entries.";"Không có bài viết."
"view";"xem"
"Experience Moderation";"Kiểm duyệt bài viết"
"If set up ""Yes"" admin must approve experiences before user can view it. Otherwise, the experiences are automatically approved.";"Nếu chọn "Có" admin sẽ phải duyệt bài viết trước khi người dùng có thể xem nó. Mặc khác, bài viết sẽ được duyệt tự động."
"Yes, allow experience moderation mode.";"Có, Cho phép kiểm duyệt bài viết."
"No, not allow experience moderation mode.";"Không, không cho phép kiểm duyệt."
"Manage Experiences";"Quản lý bài viết"
"Search";"Tìm kiếm"
"Filter By";"Lọc bởi"
"Approved";"Đã duyệt"
"Approve";"Duyệt"
"Yes";"Có"
"No";"Không"
"approve";"duyệt"
"unapprove";"không duyệt"
"Approve Experience?";"Duyệt bài viết?"
"Unapprove Experience?";"Không duyệt bài viết?"
"Are you sure that you want to approve this experience entry?";"Bạn có chắc muốn duyệt bài viết này?"
"Are you sure that you want to unapprove this experience entry?";"Bạn có chắc không muốn duyệt bài viết này?"
"Unapprove";"Không duyệt"
"Unapprove Selected";"Đã chọn không duyệt"
"Approve Selected";"Đã chọn duyệt"
"Unapprove the selected experience(s)?";"Không duyệt bài đã chọn?"
"Are you sure that you want to unapprove %d experience(s)?";"Bạn có chắc không duyệt %d bài viết?"
"Please select a experience to unaprrove.";"Vui lòng chọn bài viết để không duyệt."
"Approve the selected experience(s)?";"Duyệt những bài viết đã chọn?"
"Are you sure that you want to approve %d experience(s)?";"Bạn có chắc muốn duyệt %d bài viết?"
"Please select a experience to approve.";"Vui lòng chọn bài viết để duyệt."
"All Experiences";"Tất cả bài viết"
"Only Featured Experiences";"Chỉ những bài nổi bật"
"Only Not Featured Experiences";"Chỉ những bài không nổi bật"
"Only Approved Experiences";"Chỉ những bài viết đã duyệt"
"Only Not Approved Experiences";"Chỉ những bài viết không duyệt"
"No one has not published any experience entries with that criteria.";"Không có bài viết được xuất bản nào phù hợp với tiêu chuẩn này."
"No one has written any experience entries yet.";"Chưa có người viết bài."
"&#171; Back";"&#171; Back"
"Next &#187;";"Next &#187;"
"Experiences Search";"Tìm kiếm bài viết"
"View By Date";"Xem theo ngày"
"Tags";"Tags"
"Statistics";"Thống kê"
"Active Experienceger";"Bài viết hoạt động";"Bài viết hoạt động"
"Posted by %1$s";"Đăng bởi %1$s"
"There are no top experiences.";"Không có bài viết hàng đầu."
"View more";"Xem thêm"
"Viral Lift";"Chia sẻ nâng cao"
"Shares";"Chia sẻ"
"Clicks";"Lượt click"
"RSS Experiences";"RSS Experiences"
"There are no commented experiences.";"Không có bình luận bài viết."
"There are no viewed experiences.";"Không có bài viết được xem."
"There are no featured experiences yet.";"Không có bài viết nổi bật."
"member(s)";"thành viên"
"Filled in";"Điền vào"
"Become Member";"Trở thành thành viên"
"Members";"Thành viên"
"Report";"Báo cáo"
"Human Verification";"Xác nhận"
"Please type the characters you see in the image.";"Vui lòng nhập những kí tự bạn thấy trong hình."
"ACTIVITY_TYPE_EXPERIENCE_SUBSCRIBED_NEW";"Khi có người mà tôi đã đăng ký tạo bài viết mới."
"Experience Captcha";"Captcha"
"If set up ""Yes"" captcha will be added to create form to prevent spamming.";"Nếu chọn ""Có"" captcha sẽ được thêm để tạo mẫu ngăn chặn spam."
"Yes, add Captcha when creating a experience.";"Có, thêm Captcha khi tạo một bài viết."
"No, do not add Captcha when creating a experience.";"Không, không thêm Captcha khi tạo bài viết."
"show";"hiển thị"
"hide";"ẩn"
"_ACTIVITY_ACTIONTYPE_COMMENT_EXPERIENCE";"Khi tôi bình luận trên bài viết."
"_ACTIVITY_ACTIONTYPE_LIKE_EXPERIENCE";"Khi tôi thích một bài viết."
"_ACTIVITY_ACTIONTYPE_EXPERIENCE_NEW";"Khi tôi tạo một bài viết."
"_ACTIVITY_ACTIONTYPE_EXPERIENCE_IMPORT";"Khi tôi import bài viết"

"ITEM_TYPE_EXPERIENCE";"Tư vấn"
"View all";"Xem tất cả"
"Sorry! Maximum number of allowed experiences is: %s experience(s)";"Xin lỗi! Số lượng bài viết tối đa cho phép là: %s bài viết"
"ADMIN_ACTIVITY_TYPE_COMMENT_EXPERIENCE";"Khi một người dùng bình luận trên bài viết của người khác."
"ADMIN_ACTIVITY_TYPE_LIKE_EXPERIENCE";"Khi một người dùng thích bài viết của người khác."
"ADMIN_ACTIVITY_TYPE_EXPERIENCE_NEW";"Khi một người dùng tạo một bài viết mới."
"ADMIN_ACTIVITY_TYPE_EXPERIENCE_IMPORT";"Khi một người dùng import bài viết mới."

"EXPERIENCE_IMPORT_DESCRIPTION";"Nếu bạn có bài đăng trong hệ thống khác bạn có thể import chúng vào trang này."
"System";"Hệ thống"
"Choose a system to import.";"Chọn một hệ thống để import."
"File XML";"Tập tin XML"
"Choose a file XML to import.";"Chọn tập tin XML để import."
"XML File URL";"Url tập tin XML"
FILE_XML_INPUT_DESCRIPTION";"Chèn link url của tập tin XML."
"Username";"Tên đăng nhập"
"USERNAME_DISCRIPTION";"Original Tumblr experience name [Username.tumblr.com] not your email address or custom domain]"
"Import Experiences";"Import bài viết"
"WordPress";"WordPress"
"Experienceger";"Experienceger"
"Tumblr";"Tumblr"
"URL";"URL"
"Import error or no entry was gotten!";"Lỗi import hoặc không nhận được bài viết!"
"Please choose a file XML, enter a username or add an URL!";"Vui lòng chọn tập tin XML để nhập tên đăng nhập hoặc thêm một link url!"
"The URL has already been used. Please choose another one.";"Link đã được sử dụng. Vui lòng chọn một link khác"
"The URL must have XML extension and not empty.";"Link URL phải có phần mở rộng XML và không được bỏ trống."
"Username does not exist!";"Tên đăng nhập không tồn tại!"
"Search experiences...";"Tìm kiếm bài viết..."
"Most Commented";"Được trả lời nhiều nhất"
"Everyone's Experiences";"Bài viết của tất cả mọi người"
"Only My Friends' Experiences";"Chỉ bài viết của bạn tôi"
"Top Experiencegers";"Thành viên tích cực"
"New Experiences";"Bài viết mới"
"Top Experiences";"Bài viết hàng đầu"
"Most Viewed Experiences";"Bài viết xem nhiều nhất"
"Most Commented Experiences";"Bài viết trả lời nhiều nhất"
"Featured Experiences";"Bài viết nổi bật"
"By %1$s";"Bởi %1$s"
"Statistic";"Thống kê"
"Profile Photo";"Ảnh đại diện"
"%s view";"%s xem";"%s lượt xem"
"Other Experiences";"Bài viết khác"
"Related Experiences";"Bài viết liên quan"
"Tags: ";"Tags: "

# mail templates

# notify_admin_experience_moderation
"_EMAIL_NOTIFY_ADMIN_EXPERIENCE_MODERATION_TITLE";"Bài viết nâng cao - Kiểm duyệt Admin"
"_EMAIL_NOTIFY_ADMIN_EXPERIENCE_MODERATION_DESCRIPTION";"Email này gửi tới admin khi có bài viết mới cần được duyệt."
"_EMAIL_NOTIFY_ADMIN_EXPERIENCE_MODERATION_SUBJECT";"Không có bài viết mới cần duyệt"
"_EMAIL_NOTIFY_ADMIN_EXPERIENCE_MODERATION_BODY";"[header]

[sender_title] đã đăng bài viết mới: [object_title] cần sự kiểm duyệt của bạn.
Vui lòng click đường link sau để xem:

http://[host][object_link]

[footer]"

# notify_experience_subscribed_new
"_EMAIL_NOTIFY_EXPERIENCE_SUBSCRIBED_NEW_TITLE";"Bài viết nâng cao - Đăng ký"
"_EMAIL_NOTIFY_EXPERIENCE_SUBSCRIBED_NEW_DESCRIPTION";"Email này được gửi tới những ai mà khi một bài viết mới được đăng bởi thành viên mà họ đã đăng ký."
"_EMAIL_NOTIFY_EXPERIENCE_SUBSCRIBED_NEW_SUBJECT";"[sender_title] đã đăng bài viết mới: [object_title]"
"_EMAIL_NOTIFY_EXPERIENCE_SUBSCRIBED_NEW_BODY";"[header]

[sender_title] đã đăng bài viết mới: [object_title].
vui lòng click đường link bên dưới để xem:

http://[host][object_link]

[footer]"

"{item:$subject} has posted a new experience entry: {item:$object}.";"{item:$subject} đã đăng một bài viết mới: {item:$object}."

" experience";" bài viết";" bài viết"
"experience";"bài viết";"bài viết"
"Yes, allow automatically import experience.";"Có, cho phép tự động import bài viết."
"No, do not allow automatically import experience.";"Không, không cho phép tự động import bài viết."
"Import Experience";"Import Bài viết"
"Export Experiences";"Export Bài viết"
"Description";"Mô tả"
"Export to Wordpress";"Export tới Wordpress"
"Export to Tumblr";"Export tới Tumblr"
"Export to Experienceger";"Export tới Experienceger"
"Uncheck All";"Bỏ chọn tất cả"
"Please choose the experiences to export!";"Vui lòng chọn bài viết để export!"
"%s's Experiences";"%s's Bài viết"
"Just another WordPress.com site";"Chỉ một trang WordPress.com "
