"User";"Người dùng"
"Notification Settings";"Cài đặt thông báo"
"Email Address";"Email"
"Please enter a valid email address.";"Vui lòng nhập email có thật!"
"Someone has already registered this email address, please use another one.";"Email này đã được đăng ký, vui lòng sử dụng một email khác!"
"Profile Address";"Địa chỉ hồ sơ cá nhân"
"Please enter a valid profile address.";"Vui lòng nhập địa chỉ xác thực!"
"Someone has already picked this profile address, please use another one.";"Ai đó đã sử dụng địa chỉ hồ sơ này, vui lòng sử dụng một địa chỉ khác!"
"Profile addresses must start with a letter.";"Địa chỉ hồ sơ phải bắt đầu bằng một chữ cái!"
"Profile addresses must be alphanumeric.";"Địa chỉ hồ sơ phải là chữ cái"

"Account Type";"Loại tài khoản"
"Timezone";"Timezone"
"Select the city closest to you that shares your same timezone."
"Locale";"Vị trí"
"Dates, times, and other settings will be displayed using this locale setting.";"Ngày, giờ và những cài đặt khác sẽ hiển thị dựa theo cài đặt vị trí!"
"Email Alerts";"Thông báo email"
"Which of the these do you want to receive email alerts about?";"Bạn muốn nhận email thông báo cho những nội dung nào?"

"Join Network";"Join Network"
"Change Password";"Đổi mật khẩu"
"Old Password";"Mật khẩu cũ"
"New Password";"Mật khẩu mới"
"Passwords must be at least 6 characters in length.";"Mật khẩu phải dài ít nhất 6 kí tự!"
"New Password (again)";"Mật khẩu mới(xác nhận)"
"Enter your password again for confirmation.";"Nhập lại mật khẩu để xác nhận!"
"Change Password";"Đổi mật khẩu"

"Privacy Settings";"Cài đặt cá nhân"
"Blocked Members";"Blocked thành viên"
"Adding a person to your block list makes your profile (and all of your other content) unviewable to them. Any connections you have to the blocked person will be canceled. To add someone to your block list, visit that person's profile page.";"Thêm một người vào danh sách block của bạn sẽ khiến người đó không nhìn thấy hồ sơ của bạn (và tất cả nội dung khác) nữa! Tất cả kết nối sẽ bị hủy bỏ. Để thêm ai đó vào danh sách block của bạn, hãy xem trang hồ sơ của người đó!"
"Do not display me in searches, browsing members, or the ""Online Members"" list.";"Đừng hiển thị tôi trong phần tìm kiếm thành viên cũng như trong danh sách thành viên trực tuyến!"

"Profile Privacy";"Bảo mật hồ sơ"
"Who can view your profile?";"Ai có thể thấy hồ sơ cá nhân của bạn?"
"Profile Posting Privacy";"Bảo mật hồ sơ bài viết"
"Who can post on your profile?";"Ai có thể viết trên hồ sơ của bạn?"
"Only Me";"Chỉ bạn"
"Only My Friends";"Chỉ bạn bè của bạn"
"Only My Networks";"Chỉ trong kết nối của bạn"
"Friends & Networks";"Bạn bè & kết nối"
"All Members";"Tất cả thành viên"

"Recent Activity Privacy";"Hoạt động bảo mật gần đây"
"Which of the following things do you want to have published about you in the recent activity feed? Note that changing this setting will only affect future news feed items.";"Which of the following things do you want to have published about you in the recent activity feed? Note that changing this setting will only affect future news feed items."

"Create Account";"Tạo tài khoản"
"You will use your email address to login.";"Bạn sẽ dùng địa chỉ mail để đăng nhập."
"Password";"Mật khẩu"
"Please enter a valid password.";"Vui lòng nhập một mật khẩu xác thực."
"Password Again";"Xác nhận mật khẩu"
"Please make sure the ""password"" and ""password again"" fields match.";"Hãy chắc chắn "mật khẩu" và phần "xác nhận mật khẩu" là giống nhau!"
"Password did not match";"Mật khẩu không giống nhau"

"Language";"Ngôn ngữ"

"Continue";"Tiếp tục"

"Current Photo";"Hình hiện tại"
"Choose New Photo";"Chọn hình mới"

"Member Sign In";"Thành viên đăng nhập"
"Remember Me";"Lưu đăng nhập"

"Human Verification";"Kiểm tra"
"Please validate that you are not a robot by typing in the letters and numbers in this image:";"Vui lòng xác nhận bạn không phải là robot bằng cách nhập chữ và số trong hình"

"Login";"Đăng nhập"
"Edit My Profile";"Chỉnh sửa hồ sơ của tôi"
"Personal Info";"Thông tin cá nhân"
"Edit My Photo";"Thay đổi hình ảnh"

"clear";"clear"

"add to list";"Thêm vào danh sách"
"Choose Friend List";"Chọn từ danh sách bạn bè"
"New list...";"Danh sách mới..."

"%s friend request";"%s yêu cầu kết bạn";"%s yêu cầu kết bạn"
"%1$s has sent you a friend request.";"%1$s đã gửi bạn 1 yêu cầu kết bạn mới."
"or";"hoặc"
"ignore request";"bỏ qua"

"Browse Members";"Tìm kiếm thành viên"
"%s member found.";"%s member found.";"%s thành viên được tìm thấy."

"Loading...";"Loading..."
"View More";"Xem thêm"
"Post something...";"Đăng tải..."
"Post Something...";"Đăng tải..."
"Missing heading";"Thiếu tiêu đề"

"Member Info";"Thông tin thành viên"
"Member Type:";"Loại thành viên:"

"This profile is private.";"Hồ sơ này là riêng tư."
"Settings were successfully saved.";"Cài đặt lưu thành công."

"My Networks";"My Networks"
"You belong to %s network.";"You belong to %s network.";"You belong to %s networks."
"%s member.";"%s thành viên.";"%s thành viên."

"Leave Network";"Leave Network"
"To add a new network, begin typing its name below.";"To add a new network, begin typing its name below."

"We now";"We now"
"yourname";"dia_chi_ca_nhan"
"Signup complete!";"Đăng ký thành công!"
"Yes, Delete My Account";"Xóa tài khoản của tôi"
"skip";"bỏ qua"

"Edit Thumbnail";"Edit Thumbnail"
"Apply Changes";"Lưu"

"Hi %1$s!";"Hi %1$s!"

"Missing heading";"Thiếu tiêu đề"
"Lists:";"Danh sách"

"Mutual Friends";"Bạn bè chung"
"Member Type:";"Loại thành viên:"
"Profile Views:";"Lượt xem hồ sơ:"
"Friends:";"Bạn bè:"
"Last Update:";"Cập nhật lần cuối:"
"Joined:";"Đã tham gia:"

"%s view";"%s xem";"%s lượt xem"
"%1$s view";"%1$s xem";"%1$s lượt xem"
"%s friend";"%s bạn";"%s bạn"

"You are already signed in.";"Bạn đã đăng nhập."
"No record of a member with that email was found.";"Không tồn tại thành viên đăng ký với email này!"
"Invalid credentials";"Thông tin không có thật"
"Invalid credentials supplied";"Thông tin cung cấp không có thật"
"The credentials you have supplied are invalid. Please check your email and password, and try again.";"Thông tin bạn cung cấp không có thật, vui lòng kiếm tra lại email, mật khẩu và thử lại"
"You are already logged out.";"Bạn đã đăng xuất."
"Another member has already associated with that facebook account";"Thành viên khác đã liên kết với tài khoản facebook đó"
"Login successful";"Đăng nhập thành công"
"You are now logged out.";"Bạn đã đăng xuất."

"No member specified";"Không có thành viên được xác định"
"No action taken";"Chưa có hoạt động nào"
"Invalid data";"Dữ liệu không có thật"
"An error has occurred.";"Đã có lỗi xảy ra."
"Member unblocked";"Mở khóa thành viên"
"Member blocked";"Mở khóa"
"The uploaded file is not supported or is corrupt.";"Tập tin đăng tải không được hỗ trợ hoặc bị lỗi!"
"Set as profile photo";"Hình đại diện đã được thay đổi thành công!"
"Your changes have been saved.";"Thay đổi đã được lưu."

"Missing list/not authorized";"Danh sách bị thiếu/không được cấp quyền"
"Already in list";"Đã ở trong danh sách"
"Member added to list.";"Thành viên đã thêm vào danh sách."
"Already not in list";"Chưa ở trong danh sách"
"Member removed from list.";"Xóa thành viên khỏi danh sách."
"List deleted";"Xóa danh sách"
"You cannot befriend yourself.";"Bạn không thể kết bạn với chính bạn."
"You are already friends with this member.";"Bạn đã kết bạn với thành viên này."
"Friendship request was not sent because you blocked this member.";"Yêu cầu kết bạn không được gửi vì bạn đã khóa thành viên này!"

"No action taken";"Chưa có hoạt động nào"
"Your friend request has been sent.";"Yêu cầu kết bạn đã được gửi."
"Your friend request has been cancelled.";"Yêu cầu kết bạn đã bị hủy."

"You are now friends with %1$s";"Bạn đã thành bạn bè với %1$s"
"You ignored a friend request from %1$s";"Bạn bỏ qua yêu cầu kết bạn từ %1$s"
"This person has been removed from your friends.";"Người này đã bị xóa khỏi danh sách bạn bè của bạn"

"Settings saved.";"Cài đặt đã lưu."
"Settings were successfully saved.";"Cài đặt được lưu thành công."
"Passwords did not match";"Mật khẩu không đúng"
"Old password did not match";"Mật khẩu cũ không đúng"
"Network not found";"Network not found"

"Invalid param count";"Invalid param count"
"Invalid param value";"Invalid param value"

"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_ACCOUNT";"Create Account"
"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_FIELDS";"Create Profile"
"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_PHOTO";"Add Your Photo"
"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_INVITE";"Invite Your Friends"
"USER_ADMIN_SETTINGS_FACEBOOK_DESCRIPTION";"You can now integrate SocialEngine
to Facebook. To do so, create an Application through the
<a href=""%1$s"" target=""_blank"">Facebook Developers</a> page."
"USER_ADMIN_SETTINGS_TWITTER_DESCRIPTION";"You can now integrate SocialEngine
to Twitter. To do so, create an Application through the
<a href=""%1$s"" target=""_blank"">Twitter Developers</a> page. You will need to
select ""Read & Write"" in order to allow posting to Twitter. Please use the
following Callback URL: %2$s"

"USER_ADMIN_SETTINGS_JANRAIN_DESCRIPTION";"You can now integrate social sign-in
and sharing with sites such as Facebook, Twitter, Google, and LinkedIn using 
<a href=""%1$s"" target=""_blank"">Janrain</a>. You can import members from
the Facebook and Twitter integration <a href=""%2$s"">here</a>.
<a class=""admin help"" href=""%3$s"" target=""_blank""> </a>"

"Please make sure the ""password"" and ""password again"" fields match.";"Hãy chắc chắn "mật khẩu" trùng với "xác nhận mật khẩu""!

"I have read and agree to the <a target=""_blank"" href=""%s/help/terms"">terms of service</a>.";"Tôi đã đọc và đồng ý với <a target=""_blank"" href=""%s/help/terms"">điều khoản của website</a>."
"Terms of Service";"Điều khoản dịch vụ"
"You must agree to the terms of service to continue.";"Bạn phải đồng ý với điều khoản website để tiếp tục!"
"This will be the end of your profile link, for example: <br /> <span id=""profile_address"">http://%s</span>";"This will be the end of your profile link, for example: <br /> <span id=""profile_address"">http://%s</span>"

"You are now friends with %s";"Bạn đã thành bạn bè với %s"
"You ignored %s's request to follow you";"Bạn bỏ qua yêu cầu theo dõi của %s"
"You ignored a friend request from %s";"Bạn bỏ qua yêu cầu kết ban từ %s"
"You are now following this member.";"Bạn đang theo dõi thành viên này."
"You are now friends with this member.";"Bạn là bạn bè với thành viên này."

"Delete User";"Delete User"
"Are you sure you want to delete this user?";"Are you sure you want to delete this user?"
"Remove User";"Remove User"

"Edit Member";"Edit Member"
"You can change the details of this member's account here.";"You can change the details of this member's account here."

"Enabled?";"Enabled?"
"Verified?";"Verified?"
"Approved";"Approved"
"Not Approved";"Not Approved"
"Search";"Search"

"Friendship Settings";"Friendship Settings"
"USER_FORM_ADMIN_SETTINGS_FRIENDS_DESCRIPTION";"Facilitating relationships between members is essential to building a successful social network. There are several different types of connections that can exist between members. Use this page to determine how members will associate with each other. Note that although we refer to these relationships as ""friendships"" in this control panel, you should use a word that best fits with your social network's theme. For example, if you are running a business-oriented social network, you may want to change this word to ""connections""."

"Who Can Become Friends";"Who Can Become Friends"
"USER_FORM_ADMIN_SETTINGS_ELIGIBLE_DESCRIPTION";"Who can members invite to become their friends? Note that if you select ""nobody"", none of the other settings on this page will apply."

"All Members";"All Members"
"Only members in their networks";"Only members in their networks"
"Nobody";"Nobody"
"Friendship Direction";"Friendship Direction"
"USER_FORM_ADMIN_SETTINGS_DIRECTION_DESCRIPTION";"Your social network can allow either one-way or two-way friendships. The default setting is two-way friendships as this is typical for most social networks. One-way friendships mean that when MemberA adds MemberB, MemberB will appear on MemberA's friend list but NOT the reverse."
"Two-way Friendships";"Two-way Friendships"
"One-way Friendships";"One-way Friendships"

"Friendship Verification";"Friendship Verification"
"USER_FORM_ADMIN_SETTINGS_VERIFICATION_DESCRIPTION";"Your social network can allow either verified or unverified friendship requests. The default setting is verified friendship requests as this is typical for most social networks. Unverified friendship requests mean that when MemberA adds MemberB as a friend, MemberA and MemberB will immediately become friends without any confirmation."
"Verified Friendships";"Verified Friendships"
"Unverified Friendships";"Unverified Friendships"

"Friend Lists";"Friend Lists"
"USER_FORM_ADMIN_SETTINGS_LISTS_DESCRIPTION";"Using friend lists, your members can organize their friends under various labels that they create. They can then use these lists to send messages to multiple friends and customize their privacy settings."
"Yes, users can group their friends into lists";"Yes, users can group their friends into lists"
"No, do not allow friend lists";"No, do not allow friend lists"
"Specify what privacy options will be available to members in this level.";"Specify what privacy options will be available to members in this level."

"Allow Blocking?";"Allow Blocking?"
"USER_FORM_ADMIN_SETTINGS_LEVEL_BLOCK_DESCRIPTION";"If set to ""yes"", members can block other members from sending them private messages, requesting their friendship, and viewing their profile. This helps fight spam and network abuse."
"Search Privacy Options";"Search Privacy Options"
"USER_FORM_ADMIN_SETTINGS_LEVEL_SEARCH_DESCRIPTION";"If set to ""yes"", members will be able to exclude themselves from search results and the lists of members on the homepage (such as Recent Signups). Otherwise, all members will be included in search results."

"Profile Viewing Options";"Profile Viewing Options"
"USER_FORM_ADMIN_SETTINGS_LEVEL_AUTHVIEW_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can see their profile. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."

"Profile Commenting Options";"Profile Commenting Options"
"USER_FORM_ADMIN_SETTINGS_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can post comments on their profile. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."

"Allow status messages?";"Allow status messages?"
"USER_FORM_ADMIN_SETTINGS_LEVEL_STATUS_DESCRIPTION";"If set to ""yes"", members can post their ""status"" on their profile. By updating their status, members can tell others what they are up to, what's on their minds, etc."

"Allow username changes?";"Allow username changes?"
"USER_FORM_ADMIN_SETTINGS_LEVEL_USERNAME_DESCRIPTION";"If set to ""yes"", members will have the option of changing their username. If usernames are not enabled, this setting has no effect."

"Allow messaging?";"Allow messaging?"
"USER_FORM_ADMIN_SETTINGS_LEVEL_MESSAGESAUTH_DESCRIPTION";"Do you want to allow members to message each other?"
"Disable messaging";"Disable messaging"

"Use editor for messaging?";"Use editor for messaging?"
"USER_FORM_ADMIN_SETTINGS_LEVEL_MESSAGEEDITOR_DESCRIPTION";"You can choose to use an editor to help format and add media to your messages or use the default plain textbox with buttons to add media and share when allowed."
"Editor";"Editor"
"Plain Text"; "Plain Text"

"Allow account deletion?";"Allow account deletion?"
"If set to ""yes"", members will have the option of deleting their accounts.";"If set to ""yes"", members will have the option of deleting their accounts."
"Step 1: Create Account";"Step 1: Create Account"

"Enable Profile Address?";"Enable Profile Address?"
"USER_FORM_ADMIN_SIGNUP_USERNAME_DESCRIPTION";"If you have selected YES, members will be given the option of choosing a unique profile address. If you select NO, their user id will be used in the URL instead."
"Yes, allow members to choose a profile address.";"Yes, allow members to choose a profile address."
"No, do not allow profile addresses.";"No, do not allow profile addresses."

"Auto-approve Members";"Auto-approve Members"
"USER_FORM_ADMIN_SIGNUP_APPROVE_DESCRIPTION";"If you have selected YES, members will automatically be enabled when they signup. If you select NO, you will need to manually enable members through the View Members page. Members that are not enabled cannot login."
"Yes, enable members upon signup.";"Yes, enable members upon signup."
"No, do not enable members upon signup.";"No, do not enable members upon signup."

"Yes, make members agree to your terms of service on signup.";"Yes, make members agree to your terms of service on signup."
"No, members will not be shown a terms of service checkbox on signup.";"No, members will not be shown a terms of service checkbox on signup."
"USER_FORM_ADMIN_SIGNUP_TERMS_DESCRIPTION";"Require members to agree to your terms of service?  You can modifying your terms of service by editing the _CORE_TERMS_OF_SERVICE language variable in the application/languages/en/core.csv file."

"Generate Random Passwords?";"Generate Random Passwords?"
"USER_FORM_ADMIN_SIGNUP_RANDOM_DESCRIPTION";"If you have selected YES, a random password will be created for members when they signup. The password will be emailed to them upon the completion of the signup process. This is another method of verifying members' email addresses."
"Yes, generate random passwords and email to new members.";"Yes, generate random passwords and email to new members."
"No, let members choose their own passwords.";"No, let members choose their own passwords."

"Verify Email Address?";"Verify Email Address?"
"USER_FORM_ADMIN_SIGNUP_VERIFYEMAIL_DESCRIPTION";"Force members to verify their email address before they can login? If set to YES, members will be sent an email with a verification link which they must click to activate their account."
"Yes, verify email addresses.";"Yes, verify email addresses."
"No, just send members a welcome email";"No, just send members a welcome email"
"No, do not email new members.";"No, do not email new members."

"USER_FORM_ADMIN_SIGNUP_NOTIFYEMAIL_DESCRIPTION";"Send Admin and email when a new user signs up? If set to YES, admin will be recieve an email with information about new user."

"USER_FORM_ADMIN_SIGNUP_INVITEONLY_DESCRIPTION";"Do you want to turn off public signups and only allow invited members to signup? If yes, you can choose to have either admins and members invite new members, or just admins. If set to yes, an invite code will be required on the signup page.  Note that if you choose to allow only admins to invite new members then the 'Invite Your Friends' signup step will be disabled, even if you have enabled it elsewhere."
"Yes, admins and members must invite new members before they can signup.";"Yes, admins and members must invite new members before they can signup."
"Yes, admins must invite new members before they can signup.";"Yes, admins must invite new members before they can signup."
"No, disable the invite only feature.";"No, disable the invite only feature."

"Empty";"Empty"
"USER_FORM_ADMIN_SIGNUP_CHECKEMAIL_DESCRIPTION";"Should each invite code be bound to each invited email address? If set to NO, anyone with a valid invite code can signup regardless of their email address. If set to YES, anyone with a valid invite code that matches an email address that was invited can signup."
"Yes, check that a member's email address was invited.";"Yes, check that a member's email address was invited."
"No, anyone with an invite code can signup.";"No, anyone with an invite code can signup."
"Terms of Service";"Terms of Service"

"Step %d: Create Profile";"Bước %d: Tạo hồ sơ"
"USER_FORM_ADMIN_SIGNUP_FIELDS_DESCRIPTION";"Trong bước đăng ký tiếp theo bạn phải điền thông tin vào chỗ trống.  Click <a href='%s'>tại đây</a> để chỉnh sửa cài đặt."

"Step %d: Invite Your Friends";"Bước %d: Mời bạn bè của bạn"
"Invite Friends";"Mời bạn bè"
"USER_FORM_ADMIN_SIGNUP_FIELDS_ENABLE_DESCRIPTION";"Bạn có muốn những thành viên mời bạn của họ trong quá trình đăng ký?  Lưu ý cài đặt này sẽ bị bỏ qua nếu bạn chọn giới hạn quyền mời kết bạn đối với admin."
"Yes, include the ""Invite Friends"" step during signup.";"Đồng ý, thêm phần "Mời kết bạn" trong các bước đăng ký"
"No, do not include this step.";"Không thêm bước này!"

"User Photo Upload";"Đăng ảnh người dùng"
"Do you want your users to be able to upload a photo of themselves upon signup?";"Do you want your users to be able to upload a photo of themselves upon signup?"
"Do you want your users to be able to upload a photo of themselves upon signup?";"Do you want your users to be able to upload a photo of themselves upon signup?"
"Yes, give users the option to upload a photo upon signup.";"Yes, give users the option to upload a photo upon signup."
"No, do not allow users to upload a photo upon signup.";"No, do not allow users to upload a photo upon signup."

"Lost Password";"Quên mật khẩu"
"USER_FORM_AUTH_FORGOT_DESCRIPTION";"Nếu bạn không thể đăng nhập vì quên mật khẩu, vui lòng nhập địa chỉ mail của bạn bên dưới."
"USER_FORM_AUTH_FACEBOOK_NOACCOUNT";"Đăng nhập bằng Facebook thành công, nhưng không có tài khoản liên kết được tìm thấy. Bạn có muốn <a href=""%s"">tạo một tài khoản</a>?<br>Bạn có thể đăng nhập vào tài khoản đã tồn tại bên dưới, sau đó liên kết với tài khoản Facebook của bạn trong phần <a href=""%2$s"">Cài đặt</a>"
"Send Email";"Gửi Email"
"Reset password?";"Thay đổi mật khẩu?"
"Confirm New Password";"Xác nhận mật khẩu mới"
"Reset Password";"Thay đổi mật khẩu"
"Facebook Integration";"Liên kết tài khoản Facebook"
"Integrate with my Facebook";"Liên kết với tài khoản Facebook của tôi"

"Twitter Intragration";"Liên kết Twitter"
"Integrate with my Twitter";"Liên kết với tài khoản Twitter của tôi"

"USER_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"Những thành viên trong mạng xã hội của bạn đã được liệt kê tại đây. Nếu bạn cần tìm kiếm một thành viên xác định, nhập tiêu chuẩn tìm kiếm ở phần dưới."
"Are you sure you want to delete the selected user accounts?";"Bạn có chắc muốn xóa tài khoản người dùng đã chọn?"

"Manage Members";"Manage Members"
"%s member found";"%s member found";"%s members found"
"Are you sure you want to delete the selected user accounts?";"Are you sure you want to delete the selected user accounts?"
"User Level";"User Level"

"Member Settings";"Member Settings"
"Member Signup Process";"Member Signup Process"
"USER_VIEWS_SCRIPTS_ADMINSIGNUP_INDEX_DESCRIPTION";"Khi những thành viên mới đăng ký, họ sẽ được hướng dẫn các bước để giúp để tạo tài khoản và hoàn chỉnh hồ sơ. Bạn có thể tùy chỉnh tất cả thông tin trong quá trình đăng ký. Ở bên trái có danh sách những bước của quá trình đăng ký. Bạn có thể thay đổi thứ tự các bước bằng cách click chọn mũi tên và kéo lên hoặc kéo xuống."

"USER_VIEWS_SCRIPTS_AUTH_FORGOT_DESCRIPTION";"Email hướng dẫn thay đổi mật khẩu đã được gửi tới địa chỉ mail của bạn. Nếu bạn không nhận được email sau vài phút, hãy kiểm tra hộp thoại spam nhé!"
"Your password has been reset. Click %s to sign-in.";"Mật khẩu của bạn đã được thay đổi. Click %s để đăng nhập."
"OK, thanks!";"OK, cảm ơn!"
"Your account has been verified. Please click %s to login, or wait to be redirected";"Tài khoản của bạn đã được xác thực. Vui lòng click %s để đăng nhập, hoặc đợi để được chuyển hướng!"
"Linking your Facebook account will give you access to use your Facebook account to log in.";"Liên kết tài khoản Facebook của bạn cho phép bạn sử dụng tài khoản Facebook để đăng nhập."
"Linking your Facebook account will give you access to use your Facebook account to log in and publish to your Facebook account.";"Liên kết tài khoản Facebook của bạn cho phép bạn sử dụng tài khoản Facebook để đăng nhập và đăng tải trên Facebook của bạn."
# widget: core.menu-mini
"Updates";"Cập nhật"
"Admin";"Admin"
"My Profile";"Hồ sơ của tôi"
"Messages";"Tin nhắn"
"Settings";"Cài đặt"
"Sign Out";"Đăng xuất"
"Sign In";"Đăng nhập"
"Sign Up";"Đăng ký"

"USER_VIEWS_SCRIPTS_ADMINLOGINS_INDEX_DESCRIPTION";"Trang này chưa danh sách những lần đăng nhập gần đây của bạn. Sử dụng trang này để theo dõi những đăng nhập bất thường vào tài khoản mạng xã hội của bạn!"

# widget: core.menu-footer
"Copyright &copy;%s";"Bản quyền &sao chép;%s"
"Privacy";"Bảo mật"
"Terms of Service";"Điều khoản dịch vụ"
"Contact";"Liên lạc"

# widget: core.statstics
"Network Stats";"Network Stats"

# widget: user.list-online
"%s Members Online";"%s Thành viên online";"%s Thành viên online"

# widget: user.list-popular
"Popular Members";"Thành viên nổi bật"

# widget: user.list-signups
"Newest Members";"Thành viên mới nhất"

# widget: user.home-links
"View Recent Updates";"Xem cập nhật gần đây"
"View My Profile";"Xem hồ sơ của tôi"
"Edit My Profile";"Chỉnh sửa hồ sơ của tôi"
"Browse Members";"Tìm kiếm thành viên"

# widget: activity.feed
"What's New";"What's New"

# widgets: (various user profile)
"Info";"Thông tin"

# fields (default)
"Profile Type";"Kiểu hồ sơ"
"Regular Member";"Thành viên thường xuyên"
"Personal Information";"Thông tin cá nhân"
"First Name";"Tên"
"Last Name";"Họ & tên đệm"
"Gender";"Giới tính"
"Male";"Nam"
"Female";"Nữ"
"Birthday";"Sinh nhật"
"Birthdate";"Ngày sinh"
"Contact Information";"Thông tin liên lạc"
"Website";"Website"
"Facebook";"Facebook"
"Twitter";"Twitter"
"Personal Details";"Chi tiết cá nhân"
"AIM";"AIM"
"About Me";"Về tôi"
"Interests";"Sở thích"
"Age";"Tuổi"

# admin (misc)
"Username";"Tên đăng nhập"
"Email";"Email"
"Level";"Cấp độ"
"Superadmins";"Super Admins"
"Signup Date";"Ngày đăng ký"

"Step %d:  Add Your Photo";"Bước %d:  Thêm hình ảnh"
"Step %d: Create Profile";"Bước %d: Tạo hồ sơ"

"Yes, include the ""Invite Friends"" step during signup.";"Đồng ý, thêm phần ""Mời kết bạn"" trong bước đăng ký."
"_ACTIVITY_ACTIONTYPE_TAGGED";"Tagged"

"You are now friends with this member.";"Bạn giờ là bạn bè với thành viên này."
"You are now following this member.";"Bạn hiện đang theo dõi thành viên này."

"Welcome! A verification message has been sent to your email address with instructions on how to activate your account. Once you have clicked the link provided in the email and we have approved your account, you will be able to sign in.";"Chào mừng bạn! Một tin nhắn xác nhận đã được gửi tới địa chỉ mail của bạn để hướng dẫn cách kích hoạt tài khoản. Sau khi kích hoạt bạn có thể bắt đầu đăng nhập!"
"Welcome! A verification message has been sent to your email address with instructions for activating your account. Once you have activated your account, you will be able to sign in.";"Chào mừng bạn! Một tin nhắn xác nhận đã được gửi tới địa chỉ mail của bạn để hướng dẫn cách kích hoạt tài khoản. Sau khi kích hoạt bạn có thể bắt đầu đăng nhập!"
"Welcome! Once we have approved your account, you will be able to sign in.";"Chào mừng bạn! Sau khi chúng tôi xác nhận tài khoản của bạn, bạn có thể bắt đầu đăng nhập."

"ITEM_TYPE_USER";"Thành viên"

"Select the city closest to you that shares your same timezone.";"Chọn thành phố gần chỗ bạn nhất để chia sẻ múi giờ."
"Display Name";"Tên hiển thị"
"login";"Đăng nhập"

"Login or Signup";"Đăng nhập hoặc đăng ký"
"Online Users";"Người dùng Online"
"Profile Fields";"Những mục hồ sơ"
"Profile Friends";"Hồ sơ bạn bè"
"Profile Info";"Thông tin hồ sơ"
